Date;Mkt.RF;SMB;HML;RMW;CMA;Mom;Afkast.RF
20070601;0,44;0,35;-0,05;0,24;-0,14;-0,2;0,354705
20070604;0,18;0,05;0;0,03;-0,38;-0,12;0,165855
20070605;-0,55;-0,13;-0,22;0,06;-0,05;0,24;-0,5537
20070606;-0,92;0,06;0,05;-0,2;-0,16;-0,1;-0,90538
20070607;-1,75;-0,03;0,06;-0,1;-0,04;-0,51;-1,77598
20070608;1,07;-0,07;0,03;-0,02;0,2;0,05;1,118034
20070611;0,08;-0,24;0,1;0,01;-0,02;0,28;-0,11517
20070612;-1,06;-0,16;-0,18;0,13;0,06;-0,17;-1,08717
20070613;1,37;-0,19;-0,1;0,09;0,13;0,47;1,499419
20070614;0,5;0,11;-0,06;0;0,03;0,35;-0,50064
20070615;0,69;0,52;-0,07;0,15;0,22;0,3;0,633672
20070618;-0,13;0,02;-0,11;0,06;-0,19;0,04;-0,14034
20070619;0,14;0,03;0,15;-0,19;0,31;0,23;0,154084
20070620;-1,29;0,04;-0,18;-0,01;0,19;-0,73;-1,37911
20070621;0,56;-0,18;0,01;0,05;-0,08;0,21;0,599043
20070622;-1,25;0,59;-0,01;-0,15;-0,18;-0,41;-1,30859
20070625;-0,39;-0,43;-0,1;0,13;0,11;-0,13;-0,33979
20070626;-0,35;0,14;-0,31;0,07;0,31;0;-0,34282
20070627;0,92;0,48;-0,39;0,21;-0,2;0,33;0,881937
20070628;0,03;0,13;0,15;0;0,07;0,16;0,022823
20070629;-0,19;-0,33;0,11;0,01;-0,09;0,41;-0,17574
20070702;1,06;-0,01;0,11;0,02;0,17;0,57;1,050611
20070703;0,36;-0,05;-0,1;0,29;-0,17;0,22;0,339029
20070705;0,07;0,14;-0,6;0,23;-0,09;0,39;0,015757
20070706;0,4;-0,08;-0,08;0,12;-0,22;0,04;0,311405
20070709;0,1;0,07;-0,06;-0,03;-0,1;0,16;0,07313
20070710;-1,43;-0,2;-0,37;0,14;0,01;0,11;-1,43755
20070711;0,55;-0,25;-0,1;0,15;-0,1;0,32;0,55314
20070712;1,78;-0,18;-0,32;0,26;-0,15;0,48;1,886502
20070713;0,28;-0,27;0,08;0,03;-0,09;0,14;-0,32914
20070716;-0,31;-0,51;-0,23;-0,04;0,19;0,09;-0,21095
20070717;0,02;0,1;-0,23;-0,22;0,27;0,28;-0,02868
20070718;-0,25;-0,2;-0,19;0,25;-0,12;0,03;-0,22554
20070719;0,44;0,26;-0,48;-0,07;0,19;0,54;0,427911
20070720;-1,25;-0,33;-0,19;-0,08;-0,13;-0,11;-1,24109
20070723;0,36;-0,49;-0,42;-0,1;0,14;0,6;0,46793
20070724;-2,04;-0,61;-0,22;-0,28;0,05;-0,42;-1,99945
20070725;0,3;-0,41;0,08;-0,04;-0,02;-0,61;0,447566
20070726;-2,36;-0,04;-0,23;-0,05;-0,5;-0,22;-2,35285
20070727;-1,51;-0,05;0,14;0,04;-0,34;-0,37;-1,61815
20070730;0,93;-0,24;-0,08;0,04;-0,27;0,6;1,006395
20070731;-1,19;0,34;-0,02;-0,04;0,18;0,19;-1,28366
20070801;0,51;-0,51;-0,25;0,27;0,2;-0,1;0,706264
20070802;0,55;0,13;-0,36;-0,38;-0,1;0,74;0,417936
20070803;-2,66;-0,77;-0,73;-0,37;-0,09;0,02;-2,67661
20070806;2,07;-1,1;-0,41;0,5;-0,21;-1,26;2,397112
20070807;0,65;0,3;-0,67;0,05;-0,77;0,06;-0,63394
20070808;1,47;1,07;-0,73;-0,53;-0,83;-1,26;1,389182
20070809;-2,74;1,45;-0,61;-0,85;-0,68;-1,1;2,946961
20070810;0,03;0,22;1,35;0,55;0,99;1,17;0,01985
20070813;-0,06;-1,09;0,32;-0,03;0,34;1,58;-0,06753
20070814;-1,83;-0,13;-0,19;0,01;0,43;-0,42;-1,83365
20070815;-1,46;0;-0,04;-0,06;0,13;-1,07;-1,40878
20070816;0,31;1,37;1,16;-0,16;0,28;-2,31;0,306874
20070817;2,36;-0,35;0,38;-0,08;-0,24;-0,06;2,438653
20070820;0;0,17;-0,32;0,06;0,05;1,05;0,008972
20070821;0,15;-0,05;0,08;-0,24;0,08;0,4;0,090609
20070822;1,2;0,05;-0,01;0,01;0,05;1,1;1,153292
20070823;-0,23;-0,98;0,16;-0,16;0;0,32;-0,12524
20070824;1,21;0,12;-0,22;0,34;-0,04;0,58;1,135504
20070827;-0,85;-0,15;-0,15;0,05;0,09;0,43;-0,86836
20070828;-2,33;-0,15;-0,41;0,07;-0,07;-0,43;-2,3653
20070829;2,13;0,12;0,01;0,04;0,05;0,68;2,174186
20070830;-0,43;-0,06;-0,48;-0,11;-0,14;0,46;-0,4361
20070831;1,12;0,05;-0,08;0,15;-0,08;0,21;1,103676
20070904;1,03;-0,18;0,05;-0,3;-0,39;0,21;1,029818
20070905;-1,05;-0,03;-0,32;0,04;-0,29;0,32;-1,16711
20070906;0,42;-0,03;-0,19;-0,16;0,12;0,17;0,408188
20070907;-1,7;-0,3;0,19;0;-0,11;-0,46;-1,70785
20070910;-0,27;-0,57;-0,22;-0,15;-0,17;0,48;-0,14427
20070911;1,35;0,04;-0,33;-0,01;-0,27;0,43;1,346229
20070912;-0,03;-0,43;-0,2;0,16;-0,31;0,23;-0,0122429
20070913;0,69;-0,59;0,3;0,09;-0,35;-0,16;0,824964
20070914;0,1;0,36;-0,06;0,23;-0,19;-0,12;0,003216
20070917;-0,6;-0,43;0,04;0,03;0,05;0,23;-0,52904
20070918;2,88;0,67;0,36;0,32;-0,16;0,05;2,9038
20070919;0,59;0,58;0,24;-0,13;0,07;0,08;-0,62564
20070920;-0,65;-0,19;-0,31;-0,1;-0,25;0,91;-0,68932
20070921;0,43;-0,21;-0,24;-0,01;-0,24;0,46;0,443905
20070924;-0,56;-0,46;-0,63;-0,15;-0,17;0,67;-0,54264
20070925;-0,03;-0,34;-0,38;-0,26;-0,2;0,94;-0,05126
20070926;0,6;0,17;-0,08;-0,05;0;0,09;0,524125
20070927;0,43;0,21;-0,03;0,09;-0,2;0,1;0,373712
20070928;-0,37;-0,61;0,03;-0,17;-0,05;-0,12;-0,31934
20071001;1,37;0,8;0,07;-0,17;0,25;0,05;1,314967
20071002;0,11;0,69;0,18;-0,11;-0,21;-0,67;-0,0405
20071003;-0,48;-0,19;-0,17;0,07;0,07;-0,93;-0,46918
20071004;0,18;0,02;0,05;-0,05;0,03;0,42;0,197095
20071005;1,1;0,67;-0,07;-0,13;-0,16;-0,13;0,942029
20071008;-0,27;-0,21;-0,29;-0,24;-0,12;0,58;-0,33565
20071009;0,78;-0,21;-0,15;0,07;-0,08;0,72;0,79562
20071010;-0,13;0,01;-0,4;-0,03;-0,43;0,6;-0,18523
20071011;-0,58;-0,62;0,6;-0,07;-0,08;-0,65;-0,52985
20071012;0,51;0,06;-0,31;-0,48;-0,16;0,89;0,461422
20071015;-0,89;-0,38;-0,21;0,25;0,02;0,76;-0,85214
20071016;-0,67;-0,05;-0,28;0,15;0,2;1,01;-0,67132
20071017;0,22;-0,16;-0,26;-0,44;-0,06;0,6;0,162142
20071018;-0,1;0,07;-0,39;0,13;-0,17;0,94;-0,08926
20071019;-2,45;-0,5;0,02;-0,18;0,11;-0,33;-2,57556
20071022;0,47;0,87;0,06;0,09;0,22;-0,7;0,36584
20071023;0,85;0,05;-0,54;-0,1;-0,4;1,32;0,866285
20071024;-0,33;-0,47;-0,21;0,49;0,17;0,39;-0,25814
20071025;-0,19;-0,35;-0,02;0,86;0,46;0,41;-0,11163
20071026;1,38;0,28;0,37;-0,2;0,22;-0,15;1,364764
20071029;0,4;-0,3;-0,58;0,13;-0,43;0,44;0,357268
20071030;-0,64;-0,02;0,13;-0,43;0,49;-0,65;-0,66034
20071031;1,23;0,03;-0,13;0,07;-0,05;0,67;1,185201
20071101;-2,66;-1;-0,43;-0,17;0,09;0,61;-2,65835
20071102;0,08;0,19;-0,9;0,28;-0,04;1,08;0,064215
20071105;-0,59;-0,34;-0,11;-0,1;0,1;0,29;-0,51148
20071106;1,19;0,09;-0,17;0,44;-0,44;0,66;1,188924
20071107;-2,77;-0,15;-0,46;0,11;-0,12;0,34;-2,95298
20071108;-0,05;0,64;1,16;0,14;0,56;-0,82;-0,0736
20071109;-1,46;0,33;0,87;0,17;0,05;-1,42;-1,4447
20071112;-1,08;0,43;0,28;0,47;0,78;-2,16;-1,01483
20071113;2,81;-0,43;0,05;0,07;-0,71;-0,91;2,893296
20071114;-0,63;-0,21;-0,18;0,06;-0,3;0,66;0,690931
20071115;-1,25;-0,1;-0,06;-0,28;0,14;0,7;-1,33725
20071116;0,41;-0,68;-0,63;0,05;-0,47;1,12;0,507033
20071119;-1,81;-0,36;-0,37;0,52;0,31;0,96;-1,76203
20071120;0,31;-0,5;-0,1;0,76;-0,28;1,61;0,432624
20071121;-1,54;0,37;0,09;0,15;0,12;-0,06;-1,60869
20071123;1,59;0,25;0,19;0,14;-0,05;-0,8;1,673053
20071126;-2,09;-0,15;-0,65;-0,08;-0,42;1,06;2,30787
20071127;1,31;-0,63;-0,19;-0,28;0,23;-0,09;1,477015
20071128;2,9;0,34;-0,2;-0,22;-0,02;-0,76;2,839983
20071129;0,01;-0,5;-0,31;-0,18;-0,18;0,63;-0,06365
20071130;0,7;-0,5;0,86;-0,06;0,27;-1,44;0,761019
20071203;-0,6;-0,49;0,1;-0,07;-0,27;0,74;-0,60274
20071204;-0,61;-0,18;-0,16;0,14;0,04;0,84;-0,66803
20071205;1,47;0,04;-0,04;0,08;-0,03;0,4;1,505015
20071206;1,55;0,97;0,27;-0,03;0,04;-0,91;1,489694
20071207;-0,07;0,01;-0,05;0,16;-0,09;-0,02;-0,1918
20071210;0,71;-0,11;0,24;0,33;-0,2;-0,9;0,737
20071211;-2,5;-0,36;-0,07;-0,18;-0,3;1,64;-2,54111
20071212;0,48;0,08;-0,2;0,24;-0,3;1,56;0,591015
20071213;0,06;-0,36;-0,32;0,06;0,64;0,78;0,108428
20071214;-1,36;-0,51;-0,26;-0,07;-0,08;0,74;-1,38862
20071217;-1,59;-0,22;0,31;0,54;0,47;-0,8;-1,51609
20071218;0,65;1,11;-0,01;0,26;0,22;-0,02;0,613983
20071219;-0,1;0,3;-0,42;0,16;-0,19;0,89;-0,15008
20071220;0,64;0,74;-0,39;-0,31;-0,1;0,81;0,476021
20071221;1,64;0,41;-0,02;-0,04;-0,19;-0,28;1,652986
20071224;0,8;0,13;0,21;0,07;-0,09;-0,26;-0,8217
20071226;0,1;0,24;-0,04;-0,31;-0,26;0,81;-0,09486
20071227;-1,49;-1,21;0,04;-0,14;-0,21;0,44;-1,43555
20071228;0,12;-0,34;-0,14;0,14;-0,29;0,83;0,129595
20071231;-0,65;0,05;0,42;-0,29;0,1;-0,8;-0,69916
20080102;-1,46;-0,11;-0,1;0,2;-0,35;0,91;-1,45379
20080103;-0,14;-1,07;-0,37;-0,12;-0,32;1,6;-0,01
20080104;-2,56;-0,51;0,13;0,08;0,1;0,57;-2,46515
20080107;0,16;0,1;0,13;0,36;1,04;-0,52;0,312322
20080108;-1,81;-0,59;-0,86;0,1;-0,06;1,01;-1,84522
20080109;1,1;-0,39;-0,64;0,76;0,1;0,25;1,352404
20080110;0,89;-0,06;0,57;-0,69;-0,01;-1,39;0,784817
20080111;-1,42;-0,75;0,25;-0,08;-0,07;-0,87;-1,36954
20080114;1,02;-0,01;-0,2;0,21;-0,19;0,29;1,077065
20080115;-2,39;0,38;-0,12;-0,08;0,55;0,35;-2,5025
20080116;-0,51;0,86;1,2;-0,51;0,48;-2,98;-0,57121
20080117;-2,8;0,22;-0,11;-0,54;0,26;0,29;-2,91926
20080118;-0,56;-0,37;-0,88;0,63;-0,51;0,83;-0,61454
20080122;-0,98;0,55;1,19;0,31;-0,21;-2,87;-1,11852
20080123;2,04;1;1,65;0,9;1,19;-4,25;2,13422
20080124;1,02;-0,98;-0,53;0,24;-0,21;0,25;0,996275
20080125;-1,39;0,85;0,24;-0,24;-0,03;0,73;-1,5972
20080128;1,71;0,2;0,99;0,1;0,33;-1,68;1,745586
20080129;0,69;-0,28;0,99;-0,17;0,05;-1,4;0,605228
20080130;-0,59;-0,39;-0,1;0,25;0,11;0,15;-0,4864
20080131;1,66;0,87;0,46;0,42;0,11;-1,71;1,667226
20080201;1,48;0,69;0,05;-0,77;-0,45;-1,07;1,21675
20080204;-0,99;0,05;-0,17;-0,47;-0,1;1,8;-1,05328
20080205;-3,01;0,33;0,03;0,06;0,29;0,55;-3,20655
20080206;-0,85;-0,4;0,51;-0,2;0,35;0,16;-0,76936
20080207;0,82;0,44;0,03;0,45;-0,31;-0,57;0,781571
20080208;-0,3;-0,15;-0,33;-0,05;-0,24;1,71;-0,42737
20080211;0,58;-0,24;-0,59;0,33;-0,25;0,98;0,581902
20080212;0,61;-0,11;-0,06;-0,05;0,44;-0,01;0,719591
20080213;1,46;0,73;0,03;-0,32;-0,4;0,46;1,353408
20080214;-1,35;-0,79;0,14;-0,04;-0,04;0,64;-1,34915
20080215;-0,02;-0,75;0,33;-0,08;0,18;-0,24;0,076774
20080219;-0,06;0,24;-0,36;0,6;-0,3;0,95;-0,09663
20080220;0,83;0,29;-0,02;1,05;0,16;-0,8;0,827087
20080221;-1,28;-0,4;-0,19;-0,2;0,04;0,56;-1,29374
20080222;0,61;-0,8;0,63;0,17;-0,07;-0,52;0,781064
